id,sfdc_id,LastName,FirstName,Salutation,Title,Company,Street,City,State,PostalCode,Country,Phone,MobilePhone,Fax,Email,Website,Description,LeadSource,Status,Rating,HasOptedOutOfEmail,IsConverted,IsUnreadByOwner,DoNotCall,HasOptedOutOfFax,Gender,Date_of_Birth__c,Recruiting_Email__c,Degree_Type__c,Academic_Plan_list__c,Research_Experience__c,Contact_Preference__c,ASU_Student__c,Course_Load__c,Secondary_Email__c,Undergraduate_GPA__c,Ethnicity__c,CRMfusionDBR101__ProductInterest__c,Jr_Sr_GPA__c,Veteran_Status__c,Enrollment_Term__c,Test_Record__c,College__c,Online__c,Lead_Source_Subtype__c,Email_Status__c
53,,Corkery,Rolando,Mr.,,Ebert-Grady,"1687 Jerde Point",Lakinhaven,"Rhode Island",45047-7211,"United States","(240) 213-4296 x2300","(323) 914-5589 x1027",215-503-4363,corkery@example.net,,,Walk-in,Open,Cold,true,false,false,false,false,Male,"1991-04-13 07:00:39.000000",corkery@example.net,Certificate,,Unknown,"Home Phone",false,Full-time,rolando@example.net,2.17363355166614,White,"GC1000 series",1.8287831674465,"I am a veteran","2016 Spring",false,GRTS,,NNE,Valid
54,,"O'Keefe",Valentina,Mrs.,,Crooks-Wyman,"937 Blick Haven",Cleveberg,Vermont,72883-9142,"United States","203-754-5976 x7734",610-337-0254,"(260) 850-7567",o.keefe@example.org,,,"Employee Referral",Prospect,Cold,true,false,true,false,false,Female,"1993-09-30 20:25:45.000000",o.keefe@example.org,Non-Degree,,Yes,Email,false,Part-time,valentina@example.org,3.09431670550117,"Black African-American","GC1000 series",2.19856264148235,"National Guard","2016 Spring",false,GRLA,,"EGSS GRE Prep",Valid
55,,Legros,Dina,Dr.,,"Gulgowski and Sons","87790 Rae Throughway",Greenside,"Rhode Island",83442-7774,"United States","351-303-4420 x6309",615.253.9354,"509-415-5888 x0501",legros@example.net,,,"Employee Referral",Open,Hot,false,false,true,false,false,Male,"1992-02-09 10:30:19.000000",legros@example.net,Certificate,,Unknown,"Local Phone",true,"No response",dina@example.org,2.7801915843864,"Am. Indian Alaska Native","GC3000 series",2.18127504536222,"I am active duty","2014 Fall",true,GRCS,,"Ira A Fulton Engineering",Valid
56,,Ziemann,Blaise,Mrs.,,Walsh-Rohan,"2744 Kara Glens","East Williamberg",Missouri,93883,"United States","(835) 478-4089 x2817",984-464-1411,"908-707-4174 x9955",ziemann@example.com,,,"Phone Call",Open,Cold,true,false,true,false,false,Female,"1993-05-25 02:32:30.000000",ziemann@example.com,Doctoral,,Yes,Email,false,Undecided,blaise@example.com,1.7567916987598,White,"GC3000 series",3.9192018861326,Reserves,"2014 Fall",true,GRPP,,"EGSS Applying",Temp
57,,Tromp,Candelario,Mr.,,"Mante LLC","647 Sabina Vista","West Jennifer",Georgia,43014,"United States","(954) 732-7302 x2422",716-714-3500,"(612) 786-6528 x2751",tromp@example.net,,,PeopleSoft,Inactive,Hot,true,false,true,true,true,Male,"1994-06-02 17:36:17.000000",tromp@example.net,Certificate,,Yes,Email,false,Part-time,candelario@example.com,,Asian,"GC5000 series",,Reserves,"2015 Fall",false,GRCS,,Conference,Temp
58,,Douglas,Amiya,Prof,,"Greenfelder, Thompson and Beahan","21382 Ottilie Hill",Kiehnhaven,Massachusetts,56090,"United States",478-623-1408,"(678) 713-0029","217.562.9653 x0928",douglas@example.net,,,"Purchased List",Inactive,Cold,false,false,false,true,false,Unknown,"1991-11-01 08:16:12.000000",douglas@example.net,Masters,,Unknown,"Mobile Phone",false,Full-time,amiya@example.com,3.10842142143991,Asian,"GC3000 series",2.9561721248894,"I am active duty","2015 Fall",false,GRTS,,"New Interdis Arts & Sciences",Role
59,,Beier,Eldred,Mr.,,"Sporer, Gerlach and Lang","35344 Effertz Gardens",Wilberstad,Virginia,68489-0490,"United States","512.806.1533 x4553",610.210.5669,"(601) 760-4085",beier@example.com,,,Walk-in,Prospect,Warm,true,false,true,false,true,Male,"1991-04-12 08:50:47.000000",beier@example.com,Non-Degree,,Yes,Email,true,Full-time,eldred@example.com,3.20587483505875,"Black African-American","GC3000 series",1.6460113758988,"National Guard","2014 Fall",false,GRCS,,"Coll Technology & Innovation",Valid
60,,Will,Zelma,Dr.,,"Purdy, Von and McClure","9368 Oscar Wall","Lake Zechariahton",California,90702,"United States","(414) 785-9266","(470) 872-4331 x7540","(703) 231-2836 x1132",will@example.org,,,"ASU UG",Prospect,Hot,false,false,true,false,false,Unknown,"1992-04-04 10:19:58.000000",will@example.org,Masters,,Yes,"Home Phone",false,Full-time,zelma@example.org,,"Am. Indian Alaska Native","GC1000 series",,"I am a spouse or dependent of an active duty or veteran","2017 Spring",false,GRTE,,"New Interdis Arts & Sciences",Valid
61,,Fay,Alvera,Mr.,,"Breitenberg Group","4471 Thiel Burgs",Xavierland,Utah,40511,"United States","(630) 631-1822",620.414.4039,949.267.7330,fay@example.org,,,"Phone Call",Prospect,Warm,true,false,true,true,false,Male,"1996-01-22 16:49:10.000000",fay@example.org,Doctoral,,No,"Mobile Phone",false,Part-time,alvera@example.org,1.75589169821667,White,"GC1000 series",3.41408443597331,"National Guard","2015 Fall",true,GRTS,,Conference,Valid
62,,Larson,Joanie,Dr.,,"Ondricka Group","3237 Prohaska Islands","Lake Jonathonfurt",Wyoming,66838-4112,"United States","708.612.5188 x0967","(704) 667-2966",203-928-2671,larson@example.org,,,"College Fair - Int",Open,Cold,false,false,false,true,true,Female,"1989-10-09 12:43:39.000000",larson@example.org,Non-Degree,,No,"Home Phone",false,Part-time,joanie@example.com,,"Black African-American","GC1000 series",,"National Guard","2015 Fall",false,GRHI,,"Ira A Fulton Engineering",Valid
63,,Roberts,Edmund,Prof,,"Kuhn Inc","59186 Jerrod Curve","Port Ariport",California,99954-3389,"United States","979-773-3159 x1144","484.661.8957 x7083",562.915.9609,roberts@example.com,,,Email,Inactive,Hot,true,false,true,false,true,Unknown,"1989-11-30 11:54:11.000000",roberts@example.com,Non-Degree,,No,"Home Phone",false,"No response",edmund@example.com,,"Black African-American","GC5000 series",,"National Guard","2017 Fall",true,GRGC,,"Coll Technology & Innovation",Temp
64,,Mayert,Claud,Prof,,"Corwin LLC","7716 Margret Stravenue",Hirtheport,Delaware,76375,"United States","972-410-1643 x7347","423.618.9035 x7592","845-708-8865 x1667",mayert@example.org,,,"Web Form",Prospect,Hot,false,false,true,true,true,Female,"1992-01-12 18:18:36.000000",mayert@example.org,Certificate,,Unknown,"Mobile Phone",false,Undecided,claud@example.net,,"Am. Indian Alaska Native","GC3000 series",,"I am a veteran","2016 Spring",false,GRPP,,"Nursing & Health Innovation",Role
65,,Crist,Milton,Prof,,Gislason-Baumbach,"964 Ladarius Falls","Lake Troychester",Illinois,64951-1264,"United States","(336) 605-9582 x2984","(828) 845-9804 x8008","(802) 817-4785 x1849",crist@example.net,,,Advertisement,Open,Cold,false,false,false,false,false,Unknown,"1990-08-18 15:49:59.000000",crist@example.net,Doctoral,,No,Email,false,Full-time,milton@example.net,3.14977649276486,"Pacific Islander","GC3000 series",1.3637980632311,"I am a spouse or dependent of an active duty or veteran","2017 Fall",false,GRTE,,"School of Sustainability",Role
66,,Wunsch,Dayana,Mr.,,Feeney-Brakus,"8959 Kadin Junction",Elisaberg,Nebraska,34026-2038,"United States","(715) 682-5018 x2564","661-310-3022 x1042","530-224-8622 x3662",wunsch@example.net,,,"Phone Call",Open,Hot,false,false,true,true,true,Male,"1991-09-29 01:22:47.000000",wunsch@example.net,Certificate,,Yes,Email,false,Undecided,dayana@example.org,,"Am. Indian Alaska Native","GC1000 series",,"I am a veteran","2017 Fall",false,GRTE,,"EGSS Financing",Valid
67,,Kuhlman,Brandy,Mr.,,"Ferry, Gislason and Jast","561 Lindgren Place","West Edythe",Wyoming,47811,"United States","815.801.0956 x9000","260.808.6344 x6306","330.276.3605 x4593",kuhlman@example.net,,,"College Fair - Int",Prospect,Warm,false,false,true,false,false,Male,"1991-09-12 21:04:46.000000",kuhlman@example.net,Certificate,,Unknown,"Mobile Phone",true,Undecided,brandy@example.com,2.21260969523181,White,"GC5000 series",2.2936589996233,"National Guard","2016 Spring",true,LWLW,,"ASU Online",Temp
68,,Jakubowski,Marlene,Prof,,"Hayes LLC","18458 Prosacco Isle","East Mercedes",Indiana,11853-4626,"United States",445-256-2262,"(775) 260-4842 x2357","913.540.3466 x2439",jakubowski@example.org,,,"College Fair - Int",Inactive,Cold,true,false,false,true,true,Female,"1990-10-31 20:34:43.000000",jakubowski@example.org,Masters,,Unknown,Email,false,Undecided,marlene@example.org,3.11290920507554,"Am. Indian Alaska Native","GC3000 series",1.47589191684224,"I am a veteran","2017 Spring",true,GRNH,,"MaryLouFulton Teachers College",Valid
69,,Senger,Ahmad,Ms.,,Dicki-Kohler,"605 Jabari Stravenue",Sawaynshire,Utah,96885,"United States","557-858-6986 x7166",407-959-4035,480-253-2719,senger@example.com,,,"ASU UG",Inactive,Cold,false,false,false,false,false,Female,"1994-09-21 16:37:23.000000",senger@example.com,Certificate,,No,"Home Phone",true,Full-time,ahmad@example.org,2.94811287938834,White,"GC1000 series",2.65422928521499,Reserves,"2014 Fall",true,GRSU,,"W.P. Carey School Of Business",Temp
70,,Spinka,Mazie,Prof,,Bechtelar-Sawayn,"17948 Bins Lake","New Angela",Virginia,49852,"United States","(901) 318-0282",502-614-1188,"641.517.1929 x2191",spinka@example.com,,,"Test Scores",Inactive,Cold,true,false,true,false,false,Unknown,"1994-08-21 11:47:03.000000",spinka@example.com,Masters,,Unknown,Email,true,"No response",mazie@example.org,1.21068770401674,"Black African-American","GC1000 series",2.24749666664933,"I am a spouse or dependent of an active duty or veteran","2017 Fall",false,GRNH,,"Cronkite School-Journ/MassComm",Temp
71,,Wiegand,Van,Dr.,,"Cassin, Beahan and Walsh","892 Kunze Flats","Lake Marielle",Missouri,47261,"United States","(615) 423-6880","256.469.7410 x7240","216-610-3369 x4641",wiegand@example.org,,,Email,Prospect,Warm,true,false,false,true,true,Female,"1995-06-19 06:51:25.000000",wiegand@example.org,Doctoral,,Unknown,"Home Phone",false,Full-time,van@example.net,,White,"GC1000 series",,"I am a veteran","2015 Fall",true,GRES,,"Info Session - Campus",Valid
72,,Kub,Cathryn,Mrs.,,Dooley-Dickinson,"683 Horacio Flats","East Dawn","North Carolina",38595-5823,"United States","(859) 661-6681 x0258","(318) 925-3197","605-712-0170 x4999",kub@example.org,,,"Phone Call",Prospect,Cold,false,false,true,false,true,Female,"1995-08-06 21:29:43.000000",kub@example.org,Non-Degree,,No,Email,true,"No response",cathryn@example.net,,White,"GC5000 series",,"National Guard","2016 Fall",false,GRBA,,"EGSS Personal Statement",Valid
73,,Goyette,Tatyana,Prof,,Lakin-Graham,"173 Heidenreich Fields","North Cyrusbury",Iowa,93455-5486,"United States",740.510.3020,"475.557.8791 x5947",440-603-3671,goyette@example.com,,,Walk-in,Inactive,Warm,false,false,true,true,false,Female,"1991-08-09 22:36:04.000000",goyette@example.com,Masters,,Yes,Email,true,Undecided,tatyana@example.org,1.89438886020735,Hispanic,"GC5000 series",2.42108841856228,"National Guard","2016 Fall",true,GRES,,"EGSS Applying",Temp
74,,Goldner,Giuseppe,Prof,,"Stroman Group","298 Fritsch Green",Hilllfort,Maryland,43777,"United States","940-564-6068 x0872","612.878.7071 x2049","570.202.9117 x8886",goldner@example.net,,,Walk-in,Prospect,Cold,true,false,false,false,true,Male,"1993-09-02 06:10:08.000000",goldner@example.net,Non-Degree,,Unknown,"Mobile Phone",false,Undecided,giuseppe@example.net,,Asian,"GC1000 series",,"I am active duty","2014 Fall",false,GRNU,,Conference,Valid
75,,Anderson,Casandra,Mr.,,"Shanahan, Wiegand and Moen","551 Spencer Track",Krajcikborough,"New Jersey",44183,"United States","208.586.1571 x0873",830.724.2688,"(307) 571-8462 x2415",anderson@example.net,,,Email,Prospect,Cold,false,false,true,false,false,Male,"1989-07-18 19:33:00.000000",anderson@example.net,Doctoral,,Yes,"Mobile Phone",true,Undecided,casandra@example.org,,"Pacific Islander","GC1000 series",,"National Guard","2016 Fall",false,GRLA,,"USA Today",Role
76,,Kuhlman,Allene,Dr.,,"Fahey, Bechtelar and Emmerich","4677 Herman Rest","Port Kellen",Montana,74252-9803,"United States",952-601-3758,"984-206-0434 x3329","470-712-7967 x8149",kuhlman@example.net,,,"Purchased List",Open,Cold,true,false,true,true,false,Female,"1993-02-06 03:25:56.000000",kuhlman@example.net,Non-Degree,,No,Email,true,Undecided,allene@example.com,3.70751212460644,Asian,"GC1000 series",2.76658405375473,"I am active duty","2017 Spring",false,GRCS,,"Health Solutions",Temp
77,,Heathcote,Willy,Mrs.,,"Pouros, Gerhold and Zemlak","722 Alfonzo Ferry","South Blakeport","North Dakota",23400-4270,"United States","415-605-2242 x2070","267-959-5452 x9672","402.561.8741 x1071",heathcote@example.com,,,"Test Scores",Inactive,Warm,false,false,false,true,true,Female,"1996-01-22 07:15:26.000000",heathcote@example.com,Certificate,,No,Email,false,"No response",willy@example.org,3.73332775204356,"Black African-American","GC5000 series",2.80526920367932,Reserves,"2015 Fall",false,GRLA,,"Health Solutions",Valid
78,,Mitchell,Schuyler,Mr.,,Pagac-Bartell,"4944 Weissnat Mountains",Ullrichburgh,"South Dakota",38154,"United States","667.804.4872 x6050","724-802-2753 x9650","636.205.8709 x0675",mitchell@example.com,,,"Purchased List",Open,Cold,true,false,true,false,false,Male,"1992-06-30 12:45:43.000000",mitchell@example.com,Non-Degree,,No,"Mobile Phone",false,Full-time,schuyler@example.net,3.63723911322339,Asian,"GC1000 series",1.56264878760164,"I am active duty","2015 Spring",false,GRHI,,"CA Diversity",Temp
79,,Trantow,Margarette,Dr.,,"Wyman, Ritchie and Gerhold","86165 Wilkinson Light","New Okey",Virginia,36085-4570,"United States","(308) 835-6219 x1836",419-706-3013,737-615-3329,trantow@example.net,,,"ASU UG",Inactive,Hot,true,false,true,false,false,Unknown,"1995-09-10 08:30:44.000000",trantow@example.net,Certificate,,No,"Mobile Phone",false,Full-time,margarette@example.org,3.28884917876094,"Pacific Islander","GC3000 series",2.34295649119436,Reserves,"2017 Fall",true,GRPP,,"Graduate College",Role
80,,Shanahan,Jayce,Prof,,"Pfannerstill, Wolf and Hane","44730 Macejkovic Meadow","East Enola",Michigan,51582-4705,"United States","701-959-5653 x8298","972.847.2948 x4212","667-219-1921 x0592",shanahan@example.com,,,"Phone Call",Prospect,Cold,false,false,false,true,true,Female,"1994-01-30 13:57:13.000000",shanahan@example.com,Non-Degree,,Yes,"Mobile Phone",true,Undecided,jayce@example.net,,"Pacific Islander","GC3000 series",,"National Guard","2017 Spring",false,GRBA,,"EGSS Financing",Temp
81,,Carter,Agustin,Mrs.,,"Abernathy Group","982 Tyree Stravenue","East Dorthastad",Massachusetts,45171-4089,"United States","667-606-9791 x4446","203-971-1709 x5333","(864) 843-8450",carter@example.net,,,Email,Prospect,Warm,false,false,true,false,false,Female,"1993-04-10 05:33:30.000000",carter@example.net,Masters,,Unknown,"Home Phone",false,Full-time,agustin@example.com,,"Am. Indian Alaska Native","GC1000 series",,"I am active duty","2017 Spring",true,GRSU,,NAU,Temp
82,,Robel,Marshall,Ms.,,"Carter, Reilly and Hahn","423 VonRueden Locks",Swaniawskiside,Delaware,28953-9035,"United States",251-513-4254,323-805-4867,"781.708.6939 x5923",robel@example.com,,,Event,Inactive,Cold,true,false,true,true,true,Female,"1996-05-11 09:03:34.000000",robel@example.com,Non-Degree,,No,"Mobile Phone",true,Undecided,marshall@example.org,,"Black African-American","GC3000 series",,"I am active duty","2016 Spring",false,GRHI,,"Nursing & Health Innovation",Valid
83,,Kris,Ron,Dr.,,"Nader, Huel and Brown","900 Bailey Mountains","North Olga",Illinois,35201,"United States",858-224-3995,"609-907-6811 x9686","205-225-7942 x0128",kris@example.com,,,"Purchased List",Open,Cold,true,false,false,false,false,Unknown,"1995-02-04 14:38:33.000000",kris@example.com,Masters,,Unknown,"Mobile Phone",false,Part-time,ron@example.net,,Hispanic,"GC5000 series",,"I am a veteran","2015 Spring",true,GRPP,,"EGSS Applying",Temp
84,,Dickens,Anita,Mrs.,,Heidenreich-Marquardt,"849 Connie Locks","Lake Elisabeth",Montana,36767-7863,"United States",478-704-0488,"215.405.6101 x6130","(906) 308-2184 x5131",dickens@example.com,,,"College Fair - Int",Prospect,Cold,true,false,true,false,true,Female,"1995-07-28 00:59:52.000000",dickens@example.com,Certificate,,No,"Home Phone",false,Part-time,anita@example.com,2.96185836374976,"Am. Indian Alaska Native","GC5000 series",1.25471861510474,"I am a spouse or dependent of an active duty or veteran","2014 Fall",false,GRHI,,"EGSS Financing",Valid
85,,Schamberger,Richmond,Mr.,,"Lind, Doyle and Homenick","371 Helena Spurs",Gleasonbury,Iowa,64524,"United States","(530) 413-9234 x3854","737-940-5337 x3051","(401) 617-3999",schamberger@example.com,,,"Web Form",Prospect,Hot,true,false,false,false,true,Male,"1990-10-04 14:13:37.000000",schamberger@example.com,Masters,,Yes,"Home Phone",false,Full-time,richmond@example.com,,"Am. Indian Alaska Native","GC3000 series",,"I am active duty","2017 Fall",true,GRNU,,"Health Solutions",Temp
86,,Bergstrom,Una,Mrs.,,"Stoltenberg Inc","7125 Deshawn Spur","West Kenya",Delaware,93527-4339,"United States",435-717-1196,"(914) 989-7178 x7499",564-217-3330,bergstrom@example.net,,,"Employee Referral",Inactive,Hot,true,false,false,false,true,Female,"1989-11-18 21:45:49.000000",bergstrom@example.net,Non-Degree,,No,Email,true,"No response",una@example.org,,"Black African-American","GC3000 series",,Reserves,"2016 Fall",true,GRPP,,"CA Diversity",Temp
87,,Green,Aurelio,Prof,,"Pagac Inc","38039 Onie Turnpike",Joannieberg,Alabama,12921-2639,"United States","(504) 848-8472 x5128","(919) 765-3880 x6230",716-530-0329,green@example.com,,,"Phone Call",Prospect,Warm,true,false,false,true,true,Unknown,"1993-09-08 20:40:06.000000",green@example.com,Masters,,Yes,"Home Phone",false,Undecided,aurelio@example.com,,"Black African-American","GC3000 series",,"I am active duty","2017 Fall",true,GRLA,,"Graduate Education",Role
88,,Kertzmann,Maida,Prof,,Nikolaus-Wunsch,"958 Cordia Creek",Kiehnshire,"Rhode Island",41564,"United States",619.859.4586,"603-712-5015 x3649",610-401-9829,kertzmann@example.com,,,"Purchased List",Open,Hot,true,false,true,false,true,Unknown,"1993-07-04 17:43:59.000000",kertzmann@example.com,Doctoral,,Yes,"Local Phone",true,"No response",maida@example.org,1.6618504790592,"Am. Indian Alaska Native","GC5000 series",1.24975710828972,"I am a spouse or dependent of an active duty or veteran","2015 Spring",true,GRNU,,"Graduate College",Role
89,,Will,Yvette,Mrs.,,Leannon-Ankunding,"69386 Bethany Pike",Kozeyborough,Michigan,68770,"United States","904-917-4342 x9216",847-975-2368,678-308-0640,will@example.com,,,"Partial App",Prospect,Cold,false,false,true,true,true,Female,"1995-08-30 01:53:25.000000",will@example.com,Certificate,,No,"Mobile Phone",true,Part-time,yvette@example.org,,White,"GC1000 series",,Reserves,"2016 Fall",true,GRSU,,"College Of Public Programs",Role
90,,Dickinson,Gaston,Ms.,,"Hand, Parisian and Dare","8462 Marco Square",Demondborough,Delaware,31962,"United States","318-805-6345 x6844","702.774.2532 x0300","(678) 301-6594 x8756",dickinson@example.com,,,Email,Open,Warm,true,false,false,false,false,Female,"1994-12-19 15:15:27.000000",dickinson@example.com,Masters,,No,"Home Phone",true,Part-time,gaston@example.net,,"Pacific Islander","GC5000 series",,Reserves,"2015 Fall",true,LWLW,,"Coll Technology & Innovation",Role
91,,Botsford,Lester,Mr.,,Toy-Witting,"473 Crona Fork",Robertsfurt,Delaware,13790-6055,"United States","435-567-2622 x2127","802-551-7200 x6131","(848) 731-6684 x1827",botsford@example.com,,,"Employee Referral",Open,Warm,true,false,false,false,false,Male,"1995-07-12 07:16:56.000000",botsford@example.com,Certificate,,Unknown,"Home Phone",true,Part-time,lester@example.com,3.27974963542348,Asian,"GC1000 series",2.48848848608818,Reserves,"2017 Fall",true,GRAS,,NAU,Valid
92,,Gerlach,Missouri,Prof,,Welch-Herzog,"84620 Velma Crescent","New Velvamouth","North Carolina",15220-7542,"United States","219.571.2328 x8084",732.860.8399,901.470.2755,gerlach@example.net,,,"Partial App",Prospect,Hot,false,false,false,true,false,Unknown,"1993-07-18 23:50:30.000000",gerlach@example.net,Non-Degree,,Unknown,"Home Phone",false,Part-time,missouri@example.com,,Asian,"GC1000 series",,"I am active duty","2015 Spring",true,GRPP,,"Graduate College",Temp
93,,Lemke,Lottie,Mr.,,Wunsch-Ziemann,"42247 Elenora Neck",Johnsville,Idaho,20003,"United States","(414) 865-3029","812-217-9898 x4065",234-434-5555,lemke@example.net,,,Walk-in,Open,Hot,true,false,true,false,true,Male,"1994-11-25 03:59:11.000000",lemke@example.net,Certificate,,Unknown,"Mobile Phone",true,Part-time,lottie@example.net,2.56302704796999,"Pacific Islander","GC5000 series",1.86706022109189,"I am a veteran","2017 Fall",true,GRTS,,"EGSS Personal Statement",Temp
94,,Tillman,Karl,Mr.,,Senger-Orn,"4426 Conn Ways","South Bryanashire",Minnesota,78989,"United States",267-949-1349,475.936.9580,"612.917.7323 x6126",tillman@example.com,,,"College Fair - US",Inactive,Hot,true,false,true,false,false,Male,"1989-07-21 09:48:33.000000",tillman@example.com,Masters,,No,"Mobile Phone",true,Full-time,karl@example.net,,"Am. Indian Alaska Native","GC1000 series",,"I am active duty","2015 Spring",false,GRGC,,Conference,Valid
95,,Cummings,Dario,Ms.,,"Wiegand, Jacobs and Russel","510 America Island","West Marlonberg",Hawaii,40248,"United States","(475) 479-8611 x2527","252-940-6735 x5108",630-928-2659,cummings@example.org,,,"Purchased List",Open,Hot,true,false,false,false,true,Female,"1994-11-21 13:08:12.000000",cummings@example.org,Doctoral,,No,"Mobile Phone",true,Full-time,dario@example.org,,"Am. Indian Alaska Native","GC1000 series",,Reserves,"2017 Spring",false,GRES,,"EGSS Financing",Valid
96,,Balistreri,Ashlynn,Ms.,,"Grady-O'Reilly","32584 Treutel Meadows","North Blancheburgh",Kentucky,26958-0915,"United States","(321) 947-1806 x4306","(302) 678-3928 x6064",703-947-2949,balistreri@example.org,,,Event,Inactive,Warm,false,false,true,true,true,Female,"1991-10-17 22:34:41.000000",balistreri@example.org,Certificate,,Yes,Email,true,"No response",ashlynn@example.com,,"Pacific Islander","GC3000 series",,"I am a spouse or dependent of an active duty or veteran","2017 Spring",true,GRCS,,"College Of Public Programs",Valid
97,,Gulgowski,Jeromy,Ms.,,"Runte, Schmeler and Williamson","221 Mertie Knolls",Charitystad,Arkansas,86833-9916,"United States","(972) 407-2996","651.561.3039 x2366","975-815-3764 x3633",gulgowski@example.net,,,"Web Form",Inactive,Hot,false,false,true,false,false,Female,"1990-04-29 07:27:50.000000",gulgowski@example.net,Masters,,Unknown,"Home Phone",false,Part-time,jeromy@example.org,1.91155435427561,"Black African-American","GC1000 series",2.28760696225893,Reserves,"2014 Fall",false,GRCS,,TOEFL,Role
98,,Feest,Lilly,Mrs.,,"Wolff LLC","6993 Rachelle Vista","East Bertram",Massachusetts,72045-9719,"United States","(203) 626-0444 x0292",754-216-9828,"940-619-6634 x6332",feest@example.net,,,"College Fair - Int",Open,Warm,true,false,true,false,false,Female,"1991-07-09 10:42:47.000000",feest@example.net,Masters,,Unknown,"Mobile Phone",false,Part-time,lilly@example.com,3.00726307004565,White,"GC5000 series",3.33521311898696,"National Guard","2014 Fall",true,GRSU,,NAU,Role
99,,Bartell,Nasir,Ms.,,Nikolaus-Roob,"23649 Bernier Pike",Carrollbury,Michigan,49769-3632,"United States",810-413-8027,"308-702-8883 x4252","952-608-6172 x8104",bartell@example.com,,,"College Fair - US",Open,Warm,false,false,true,true,true,Female,"1994-08-28 21:23:37.000000",bartell@example.com,Certificate,,No,"Local Phone",true,Part-time,nasir@example.net,,"Black African-American","GC5000 series",,"I am active duty","2015 Fall",false,GRBA,,"ASU Online",Valid
100,,Gibson,Tyrese,Prof,,Pacocha-Kautzer,"32335 Carole Mission","Lake Leonorland","South Carolina",50988,"United States","651-617-7176 x6476",317-931-9788,"620-231-6397 x3149",gibson@example.net,,,"College Fair - Int",Inactive,Cold,false,false,false,false,false,Female,"1991-01-23 15:35:52.000000",gibson@example.net,Certificate,,No,"Mobile Phone",true,Undecided,tyrese@example.org,2.9143467195572,Hispanic,"GC3000 series",3.43748444934933,"I am a veteran","2017 Spring",true,GRLA,,"Nursing & Health Innovation",Valid
