id,sfdc_id,FirstName,LastName,Salutation,RoverStatus,OtherStreet,OtherCity,OtherState,OtherPostalCode,OtherCountry,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry,Phone,Fax,MobilePhone,HomePhone,OtherPhone,Email,LeadSource,Birthdate,HasOptedOutOfEmail,HasOptedOutOfFax,DoNotCall,Personal_Email__c,Gender,ASU_Gmail__c,Arizona_Resident__c,Visa_Type__c,Undergraduate_GPA__c,Jr_Sr_GPA__c,Military_Status__c,Military_Branch__c,Email_Status__c,Marital_Status__c,Ethnicity,FERPA__c,Undergraduate_Major__c,Graduate_GPA__c,Contact_Preference__c,Student_Number__c,ASURite_ID__c,Deceased__c,ASU_Email__c,Test_Record__c
48,,Loraine,Lang,Prof,No,"195 Bahringer Mount","South Cheyennefurt",Tennessee,52515,"United States","91304 Huel Hill",Ernserhaven,Kentucky,24652-1036,"United States","475-206-8687 x1533","530-920-1880 x1827","(469) 404-6407 x6921",920.814.3493,339-307-7259,loraine@example.org,Walk-in,"1992-10-11 03:12:47.000000",true,false,true,loraine@example.org,Unknown,Loraine@asu.gmail,true,,2.67038180749373,3.7508823100509,,,Valid,Single,White,true,Psychology,,"Local Phone",3322436366,1203126678,false,Loraine.Lang@asuFake.edu,
49,,Oleta,Turcotte,Mrs.,No,"1329 Dwight Ford","South Albina","New Mexico",24876,"United States","11300 Hintz Flat","Lake Evelineton",Colorado,17610,"United States",858-660-8303,"205.845.9088 x1274",231.716.6601,"305-919-9122 x9751",404-775-5537,oleta@example.net,Email,"1992-09-15 23:52:43.000000",false,true,false,oleta@example.net,Female,Oleta@asu.gmail,false,,3.28736460388536,3.7009803260447,,,Temp,Married,"Black African-American",true,Business,,"Mobile Phone",0060057997,1207782594,false,Oleta.Turcotte@asuFake.edu,
50,,Josianne,Lesch,Mrs.,No,"639 Aracely Park","South Elna","New Jersey",53791-2201,"United States","360 Schuppe Wells",Stiedemannborough,Indiana,44240,"United States","(650) 475-7288 x1061",661-216-1430,"(908) 270-1160 x7334","239.570.4680 x0418","708-207-9119 x9075",josianne@example.org,Advertisement,"1994-03-12 13:28:07.000000",false,true,false,josianne@example.org,Female,Josianne@asu.gmail,false,,2.25173348262824,2.47789395600268,,,Valid,Married,White,false,Mathematics,3.16270540834094,"Home Phone",7392912714,1209946812,false,Josianne.Lesch@asuFake.edu,
51,,London,Beatty,Dr.,No,"47624 Troy Groves","East Kayleigh",Wisconsin,79405,"United States","84241 Mante Curve",Parisianfort,California,58194-4581,"United States",323-810-0646,"(801) 718-4161 x8632","(283) 563-3779 x1953","317-323-7667 x0958",847-619-7943,london@example.net,"College Fair - Int","1994-07-29 20:16:19.000000",true,false,true,london@example.net,Female,London@asu.gmail,false,,1.55045416534528,1.1426128340647,,,Valid,Single,"Pacific Islander",true,Mathematics,,"Local Phone",6553096883,1203330289,false,London.Beatty@asuFake.edu,
52,,Elinore,Gislason,Mrs.,No,"307 Furman Mall",Christyberg,Maine,15468-4672,"United States","7929 Effertz Fort","West Brielleview",Vermont,30325,"United States","(212) 954-9726 x3529","227-972-0182 x1440","928.859.2162 x9507","423.618.4237 x3718","708-551-3506 x7637",elinore@example.org,"College Fair - Int","1989-10-19 15:12:53.000000",false,false,true,elinore@example.org,Female,Elinore@asu.gmail,true,,3.31429947782756,3.82141290823593,,,Role,Married,Asian,true,Economics,3.10436147075203,Email,0612694353,1203801424,false,Elinore.Gislason@asuFake.edu,
53,,Ayana,Marks,Ms.,No,"25606 Christiansen Wall","Lake Kris",Wisconsin,24119-6423,"United States","312 Chanel Radial",Collierberg,Alaska,88080,"United States",931-810-4286,858-515-3140,"(509) 912-8530","712-734-5292 x5058","(540) 715-8933 x8898",ayana@example.com,Advertisement,"1989-09-16 08:18:40.000000",false,false,false,ayana@example.com,Female,Ayana@asu.gmail,false,,3.65291150246377,1.83973607782395,,,Temp,Single,Asian,false,Biology,3.94382468674054,"Home Phone",3817859834,1209949469,false,Ayana.Marks@asuFake.edu,
54,,Makenna,Rogahn,Dr.,No,"726 Jenkins Land","East Izaiahfort",Illinois,37259,"United States","59637 Schuster Expressway","South Dedric",Delaware,11502,"United States","(907) 907-9855 x1345",931-308-8782,"878-401-3034 x2454",231-618-0550,812-615-9974,makenna@example.net,"Purchased List","1995-05-25 03:10:40.000000",true,false,true,makenna@example.net,Female,Makenna@asu.gmail,true,,2.68501429916135,1.53666435827018,,,Temp,Single,"Am. Indian Alaska Native",true,Biology,3.96193701139329,"Home Phone",4213133319,1204805748,false,Makenna.Rogahn@asuFake.edu,
55,,Angelo,Rau,Prof,No,"928 Jarvis Ports","Port Kristian",Montana,58985,"United States","3327 Bradtke Centers",Braunshire,Delaware,42491,"United States",563-228-4869,"(646) 975-8827 x0608",973-919-8992,"848-513-5271 x3998","(848) 918-9376 x1146",angelo@example.org,"Purchased List","1996-01-11 08:46:23.000000",false,false,false,angelo@example.org,Male,Angelo@asu.gmail,true,,2.09888270504311,1.88247745780657,,,Valid,Single,"Pacific Islander",false,Psychology,,"Local Phone",0730981403,1209094164,false,Angelo.Rau@asuFake.edu,
56,,Corrine,Witting,Mrs.,No,"98808 Waino Junction","East Timothy",Iowa,65858-7571,"United States","7714 Norbert Walks","South Margarettview",Mississippi,78663-9861,"United States","(859) 276-0969 x8474",551-979-4404,"607-475-8977 x0001","(763) 260-7139",980.563.2459,corrine@example.com,"Purchased List","1993-04-03 07:57:57.000000",true,true,false,corrine@example.com,Female,Corrine@asu.gmail,true,,3.82799245896209,1.96364083750389,,,Role,Married,"Pacific Islander",false,"Computer Science",,Email,6716058126,1208877794,false,Corrine.Witting@asuFake.edu,
57,,Brant,Rodriguez,Ms.,No,"6746 Troy Dam",Loufort,"Rhode Island",53022,"United States","252 Clifton Valleys",Wymanville,"New Hampshire",15194,"United States","513-904-7246 x0456",662.407.1197,"859-213-0653 x3908","574-662-7575 x5794",707-571-1262,brant@example.net,"Web Form","1995-05-26 08:06:27.000000",true,false,false,brant@example.net,Female,Brant@asu.gmail,false,,2.98183742192032,2.54737205717114,,,Valid,Single,Hispanic,false,Economics,,"Local Phone",3663910706,1200751314,false,Brant.Rodriguez@asuFake.edu,
58,,Rene,Corkery,Dr.,No,"6748 Fabian Extension","West Danatown",Kansas,73710,"United States","11600 Balistreri Circles","Port Jeromyberg",Tennessee,88861-0056,"United States",276-801-1911,229-612-8158,"251-812-4959 x8660",351-760-6987,"512.224.9331 x2106",rene@example.org,"Web Form","1995-05-16 15:50:38.000000",false,true,true,rene@example.org,Male,Rene@asu.gmail,true,,1.95801270232967,3.40704280065925,,,Temp,Unknown,"Black African-American",true,Economics,,"Mobile Phone",1198326243,1200741869,false,Rene.Corkery@asuFake.edu,
59,,Barton,Sanford,Mr.,No,"581 Winifred Green","Port Vanbury",Montana,18160,"United States","226 Maegan Fords",Ziemestad,"South Carolina",37801,"United States",816.936.6692,925.225.9274,"650-714-4445 x0430",641-229-6228,870.606.8939,barton@example.net,Email,"1990-11-03 18:49:50.000000",true,false,false,barton@example.net,Male,Barton@asu.gmail,true,,2.22264702578145,3.7596725190142,"Armed Forces Reserve",Army,Role,Married,"Black African-American",true,"Political Science",,"Local Phone",3104229313,1208600148,false,Barton.Sanford@asuFake.edu,
60,,Clementine,Muller,Dr.,No,"8142 Alaina Oval","New Lorenzo",Vermont,55365-0517,"United States","8484 Bartoletti Corner","East Carmine",Alabama,33712-0892,"United States",985-224-5570,"254.314.0215 x0427","270.215.2062 x3736","(309) 253-7839","210-564-6578 x8473",clementine@example.com,Walk-in,"1996-05-06 05:08:58.000000",false,true,false,clementine@example.com,Female,Clementine@asu.gmail,true,,2.73248914205541,1.95178280809991,,,Temp,Divorced,"Pacific Islander",true,"Political Science",3.83147439195843,"Home Phone",7059185174,1203541142,false,Clementine.Muller@asuFake.edu,
61,,Jaylen,Deckow,Ms.,No,"247 Emmerich Knoll","New Hettiehaven",Texas,77035,"United States","168 Leffler Mission","South Dejonborough","New Mexico",18896,"United States","651-936-1400 x1020","(337) 540-2919","949-913-8124 x5569",410-812-3490,"336-301-2302 x0501",jaylen@example.net,Advertisement,"1991-10-11 22:12:28.000000",false,true,true,jaylen@example.net,Female,Jaylen@asu.gmail,false,,3.39748970619212,1.63569951893136,,,Valid,Single,White,false,"Political Science",,"Home Phone",2359013592,1203391777,false,Jaylen.Deckow@asuFake.edu,
62,,Jimmie,Torphy,Mr.,No,"9095 Witting Key",Anyaside,"North Carolina",13435-4698,"United States","52436 Rocio Unions",Isomshire,Hawaii,46434-3728,"United States",858.781.6823,"(937) 434-0196 x3728","970-412-0916 x1201",914-773-9433,737-443-9533,jimmie@example.com,PeopleSoft,"1993-07-22 05:03:27.000000",true,true,false,jimmie@example.com,Male,Jimmie@asu.gmail,false,,1.10898644104796,3.83717151111352,,,Valid,Married,Hispanic,true,Psychology,3.70473638625163,"Local Phone",4529376266,1207333398,false,Jimmie.Torphy@asuFake.edu,
63,,Birdie,Collier,Mrs.,No,"2445 Bailey Cape","Port Veronachester",Hawaii,29370,"United States","3879 Williamson Lock",Orlandoburgh,Missouri,12098-0745,"United States",848-513-2298,351-567-9434,984-337-6627,"(352) 312-6755 x1983","(423) 858-9042",birdie@example.com,Advertisement,"1993-07-24 04:19:18.000000",true,true,true,birdie@example.com,Female,Birdie@asu.gmail,true,,1.5499532082726,2.19800096117016,,,Valid,Married,"Pacific Islander",true,"Mechanical Engineering",3.81600158011439,Email,9566486965,1203427099,false,Birdie.Collier@asuFake.edu,
64,,Delia,Walter,Ms.,No,"904 Turner Forges",Mertzmouth,Oregon,63411-3124,"United States","8306 Filomena Ways",Kurtischester,Arizona,22250-2916,"United States","651-608-2038 x2568","(620) 802-8785 x6667","947.619.4835 x7591","(564) 504-8822","818-801-0237 x0885",delia@example.net,"ASU UG","1990-01-10 17:00:24.000000",false,false,true,delia@example.net,Female,Delia@asu.gmail,false,,3.1673963439239,1.83783050507059,,,Role,Single,Hispanic,true,Business,3.0857925107853,"Mobile Phone",0248603143,1200130816,false,Delia.Walter@asuFake.edu,
65,,Berniece,Hayes,Prof,No,"4902 Hobart Hills",Madgemouth,"Rhode Island",27197-6843,"United States","82246 Fritsch Drives","North Brannonfort",Nevada,18904-3141,"United States","307-215-0891 x8863","360-731-1459 x9935","(847) 410-4144 x2777","630-904-2887 x8592",319.339.0371,berniece@example.net,Walk-in,"1994-11-13 19:08:47.000000",false,true,true,berniece@example.net,Unknown,Berniece@asu.gmail,true,,1.67373173950207,3.59161304018335,,,Role,Divorced,Asian,false,Mathematics,,"Local Phone",2745204759,1202920398,false,Berniece.Hayes@asuFake.edu,
66,,Jayda,Bartell,Ms.,No,"293 Ondricka Spurs","Lake Lukasberg",Idaho,44398,"United States","805 Alf Row",Satterfieldfurt,"New Jersey",21834-7946,"United States","229-814-3751 x2990","(760) 917-2086 x1413","724-941-6544 x6204","(216) 718-5914 x9480",617-763-9076,jayda@example.net,"Test Scores","1991-06-22 21:12:02.000000",true,false,false,jayda@example.net,Female,Jayda@asu.gmail,true,,2.63276607307209,3.83562409625943,,,Temp,Single,"Am. Indian Alaska Native",true,Business,,"Mobile Phone",4971619104,1209087715,false,Jayda.Bartell@asuFake.edu,
67,,Ryleigh,Pacocha,Dr.,No,"47243 Jayda Station","North Lucious","West Virginia",74562,"United States","493 Lawrence Cape",Greenfelderhaven,Iowa,65939,"United States",667-308-9073,708-315-8044,"(848) 313-6750","301.567.3942 x3772","479.912.4751 x0674",ryleigh@example.net,"Employee Referral","1992-02-24 10:57:21.000000",true,false,true,ryleigh@example.net,Male,Ryleigh@asu.gmail,true,,2.61618627824859,2.85796951536704,,,Valid,Single,White,true,Mathematics,,"Local Phone",9629294887,1203572267,false,Ryleigh.Pacocha@asuFake.edu,
68,,Amari,McCullough,Mrs.,No,"871 Ferry Row",Cassinton,Nebraska,51196-0110,"United States","2376 Muriel Knoll","West Herminiastad",Colorado,76445,"United States",956-320-5837,952-959-8679,"209.828.4288 x0785","316.813.1657 x0158","910.323.9797 x0235",amari@example.net,"Phone Call","1995-10-31 16:51:05.000000",false,true,true,amari@example.net,Female,Amari@asu.gmail,false,,3.94222287270378,3.10949136659624,,,Role,Married,Hispanic,false,Business,,"Mobile Phone",4206877296,1200530199,false,Amari.McCullough@asuFake.edu,
69,,Camryn,Kub,Prof,No,"544 Lelah Plaza",Kihnshire,Massachusetts,46182-2974,"United States","76157 Pfannerstill Dam",Schummshire,Vermont,56430-2924,"United States","910.702.8500 x0305","215-484-1196 x8326","(936) 602-4757","848-425-8267 x8883","845.916.0885 x0173",camryn@example.org,Walk-in,"1992-09-20 10:27:19.000000",true,true,true,camryn@example.org,Male,Camryn@asu.gmail,false,,2.53191026205018,3.37219575926317,,,Temp,Single,"Pacific Islander",true,Mathematics,3.69029945633344,"Home Phone",8444668467,1207033804,false,Camryn.Kub@asuFake.edu,
70,,Filomena,Stark,Prof,No,"48604 Kristopher Squares",Connville,Tennessee,48456-7787,"United States","648 Littel Street",Rowetown,Georgia,87423,"United States","804.410.6181 x3821","478-407-6626 x7115","952.915.9972 x4823","757-872-8819 x8887","702-863-2911 x2546",filomena@example.net,"Phone Call","1995-10-29 22:26:28.000000",false,true,true,filomena@example.net,Unknown,Filomena@asu.gmail,true,,3.12923221087872,1.18900469839125,,,Valid,Married,Asian,false,"Political Science",3.79676426739442,"Home Phone",1293755350,1207372554,false,Filomena.Stark@asuFake.edu,
71,,Camila,Bode,Dr.,No,"599 Elody Brooks",Christianachester,Illinois,61918-7852,"United States","441 Fahey Island","Port Clotilde","New Hampshire",60533,"United States","(417) 802-0742 x6788","737-845-3334 x5995","919.423.8232 x3045","316-972-5751 x1802","417-571-8746 x1450",camila@example.org,"College Fair - Int","1996-04-14 12:38:20.000000",false,false,false,camila@example.org,Female,Camila@asu.gmail,false,,2.39997032178261,1.30672733500534,,,Role,Unknown,Hispanic,true,Business,,"Home Phone",6409563647,1209828118,false,Camila.Bode@asuFake.edu,
72,,Delphia,Sawayn,Mrs.,No,"7636 Gulgowski Prairie","Port Katelyn",Florida,22333-9150,"United States","6495 Syble Circle","West Lucinda",Idaho,17826,"United States","(307) 835-4149","218.828.5393 x4626",571-802-0734,"208-682-4957 x0949","970.646.4567 x4867",delphia@example.net,"Web Form","1991-06-21 22:28:34.000000",false,true,false,delphia@example.net,Female,Delphia@asu.gmail,false,,3.31317095147485,3.64701080439041,,,Role,Married,"Black African-American",false,"Computer Science",,"Mobile Phone",1828693740,1203676983,false,Delphia.Sawayn@asuFake.edu,
73,,Kaya,Waters,Mr.,No,"25654 Ashlee Shoal","South Peyton",Colorado,93878,"United States","13435 Liliana Park","East Tiara",Arkansas,22274-4825,"United States","(510) 805-1341","(224) 304-0896 x8140","606-209-0540 x6720","503-707-2383 x6532","(618) 641-0991 x8907",kaya@example.com,Advertisement,"1991-01-06 19:34:10.000000",true,true,false,kaya@example.com,Male,Kaya@asu.gmail,true,,1.58085305561658,2.95275846855247,"National Guard","Coast Guard",Temp,Married,"Pacific Islander",true,Business,,"Home Phone",3088616073,1209860636,false,Kaya.Waters@asuFake.edu,
74,,Thea,McClure,Mrs.,No,"119 Ryder Common","South Tristianshire",Texas,31806-0201,"United States","5238 Muller Point","East Vernieshire","South Dakota",77416-9725,"United States","(623) 731-6140 x9563","603.502.5200 x4741",201.719.4984,559-573-6366,"(330) 862-6052",thea@example.org,"Phone Call","1994-11-18 07:09:49.000000",false,false,true,thea@example.org,Female,Thea@asu.gmail,true,,1.10900695620098,3.38592972311027,,,Temp,Married,"Black African-American",false,Economics,,Email,3220085635,1202385600,false,Thea.McClure@asuFake.edu,
75,,Silas,Fisher,Mrs.,No,"2491 Drew Harbors",Benedictberg,Illinois,94343-8803,"United States","3345 Amos Prairie",Derrickburgh,"South Dakota",48962,"United States","512-786-5075 x6099","914.732.3373 x4945","(816) 813-4082 x3688","814.865.8586 x7551",563-209-3389,silas@example.com,"Partial App","1993-04-20 10:26:48.000000",true,true,false,silas@example.com,Female,Silas@asu.gmail,false,,1.32237138385618,1.83547353500871,,,Role,Married,"Am. Indian Alaska Native",false,"Political Science",3.38140060728992,"Local Phone",2311400282,1207329447,false,Silas.Fisher@asuFake.edu,
76,,Mona,"O'Keefe",Prof,No,"9409 Emma Parkway",Boscomouth,Texas,78006,"United States","35201 Camilla Hills",Enriquefort,Minnesota,73997-4856,"United States",605.313.5868,423.307.3199,"253-517-9928 x8341","(330) 909-9870 x7161",559.850.5187,mona@example.net,Advertisement,"1990-08-28 21:25:29.000000",false,false,false,mona@example.net,Unknown,Mona@asu.gmail,true,,1.1961093002041,3.96653535027129,,,Valid,Married,"Pacific Islander",false,Biology,,Email,2311420433,1201831542,false,"Mona.O'Keefe@asuFake.edu",
77,,Dianna,Goldner,Dr.,No,"9103 Berge Cliffs",Quincyburgh,Pennsylvania,31131,"United States","5585 Nathanial Drive","Port Donald",Colorado,10343-4006,"United States",641-229-1204,"630.573.5923 x1552",585.605.5752,"724.970.8414 x0438","832-718-0217 x9582",dianna@example.com,"Web Form","1995-02-06 04:11:06.000000",true,false,true,dianna@example.com,Female,Dianna@asu.gmail,false,,2.30513274118593,2.94471714563304,,,Temp,Single,White,true,Business,3.58309317379231,"Mobile Phone",3586498765,1208159637,false,Dianna.Goldner@asuFake.edu,
78,,Constantin,Lindgren,Dr.,No,"48852 Gonzalo Alley",Elainaview,Nebraska,44382,"United States","2407 Bashirian Camp",Glennatown,"New Jersey",23506,"United States","(228) 808-5606 x2431","404.832.4381 x5352",971-813-7617,817-857-3078,602-260-2059,constantin@example.org,PeopleSoft,"1994-08-30 22:59:17.000000",true,false,false,constantin@example.org,Female,Constantin@asu.gmail,true,,1.51989698054067,3.09549151539214,,,Role,Unknown,Hispanic,false,Psychology,,"Mobile Phone",7478406757,1205217058,false,Constantin.Lindgren@asuFake.edu,
79,,Connor,Sanford,Ms.,No,"52253 Alexys Orchard",Runolfssonton,Tennessee,86841-9417,"United States","537 Botsford Ramp","West Charity",Kansas,91768,"United States","(916) 616-9141 x3538",878-217-1147,479-318-6062,"201.928.2732 x3792","561-727-5643 x6694",connor@example.com,"College Fair - US","1994-02-15 20:23:50.000000",true,true,false,connor@example.com,Female,Connor@asu.gmail,true,,2.58366733887678,2.75955134213382,,,Valid,Single,Asian,true,Economics,3.16683001332537,"Mobile Phone",9258424116,1207527080,false,Connor.Sanford@asuFake.edu,
80,,Ryley,Jacobi,Mr.,No,"65997 Howe Radial","West Luther",Arkansas,73322,"United States","23126 Hilll Way","East Jovaniburgh",Pennsylvania,47609-1352,"United States",469-919-2376,"(719) 904-5156 x8823","602-267-1704 x1648","701-617-6390 x9177","339.203.9975 x9731",ryley@example.com,"Phone Call","1989-07-20 22:49:31.000000",false,false,false,ryley@example.com,Male,Ryley@asu.gmail,false,,1.85631199109281,1.51575081838176,,,Valid,Unknown,"Am. Indian Alaska Native",false,"Computer Science",,Email,7031689487,1202531557,false,Ryley.Jacobi@asuFake.edu,
81,,Agustina,McGlynn,Dr.,No,"239 Evalyn Loaf",Cruickshankland,Vermont,36101-2225,"United States","85616 Maia Place",Kihnberg,Tennessee,64786-8421,"United States","475-609-3455 x9427",505-660-6284,"785-208-4621 x9697","317-773-8226 x1236","858-212-4283 x7775",agustina@example.net,Email,"1995-09-03 07:46:18.000000",false,false,true,agustina@example.net,Female,Agustina@asu.gmail,false,,2.6882343611181,2.10689798232945,,,Role,Single,"Am. Indian Alaska Native",true,Mathematics,3.34321271491394,"Local Phone",7402771834,1203021640,false,Agustina.McGlynn@asuFake.edu,
82,,Lilyan,Leannon,Ms.,No,"16271 Abernathy Burgs","New Ceciliaburgh",Virginia,25202,"United States","17008 Keeling Pike","North Gisselleport",Texas,89535-1584,"United States","908-608-4612 x0313",630.603.9954,"857.443.5583 x4172","(573) 847-7769",573.714.8028,lilyan@example.com,"Test Scores","1990-06-09 02:11:07.000000",false,true,true,lilyan@example.com,Female,Lilyan@asu.gmail,false,,2.62621990993856,1.71750233889304,,,Temp,Single,"Am. Indian Alaska Native",false,Biology,,Email,2480771392,1208781207,false,Lilyan.Leannon@asuFake.edu,
83,,Cullen,Fadel,Mrs.,No,"9386 Hills Landing",Trevortown,Colorado,39284-3060,"United States","596 Winston Glens",Nedraview,Colorado,37965-0676,"United States","409.228.9344 x3748","225-862-2924 x4654","774.213.9267 x1286",989.915.0827,"(508) 810-3111 x8147",cullen@example.com,Email,"1995-06-18 11:36:51.000000",true,false,false,cullen@example.com,Female,Cullen@asu.gmail,true,,2.20824094828859,1.73013956570642,,,Valid,Married,Hispanic,true,Mathematics,,Email,1157179989,1201534413,false,Cullen.Fadel@asuFake.edu,
84,,Mathew,Vandervort,Ms.,No,"8635 King Flats","New Claud","New Jersey",26607,"United States","162 Bogisich Port","Lake Jaysonstad",Nebraska,42996-6381,"United States","224-718-0591 x9391",667-716-3885,"732-802-6338 x1003","320-609-5448 x4041","(402) 857-2931 x2089",mathew@example.org,Event,"1990-05-02 20:23:19.000000",true,false,true,mathew@example.org,Female,Mathew@asu.gmail,false,,2.60981105804518,2.20387481434546,,,Role,Single,"Am. Indian Alaska Native",false,Mathematics,3.07895107766666,"Home Phone",9184903366,1205716120,false,Mathew.Vandervort@asuFake.edu,
85,,Clay,Hintz,Mr.,No,"54473 Jamey Stravenue","South Lelandfurt",Oregon,32423,"United States","317 Concepcion Fields",Chrisbury,Texas,86592,"United States",224-978-9108,574-410-4284,"(316) 959-6775","(716) 408-1874 x2437","408-870-4823 x8430",clay@example.com,"Test Scores","1992-05-23 16:15:22.000000",true,true,true,clay@example.com,Male,Clay@asu.gmail,true,,1.71706692416875,2.4049557271542,,,Valid,Divorced,"Pacific Islander",false,"Computer Science",,"Local Phone",9694009658,1205683059,false,Clay.Hintz@asuFake.edu,
86,,Molly,Kilback,Mr.,No,"3737 Janiya Gateway",Kesslerbury,"West Virginia",15564,"United States","82564 Issac Street","New Friedrichborough","North Carolina",46114-5455,"United States","(785) 817-1094 x0314","(706) 650-7540","(601) 928-1907","(870) 904-1823 x2496","504-475-2041 x8347",molly@example.com,"College Fair - US","1994-11-26 07:25:16.000000",true,false,true,molly@example.com,Male,Molly@asu.gmail,true,,1.74483804701116,3.79153532901117,,,Valid,Married,White,true,Biology,,"Local Phone",2466825867,1205461289,false,Molly.Kilback@asuFake.edu,
87,,Dianna,Ward,Dr.,No,"22381 Rice Falls","Lake Vedaville",Vermont,44159-1283,"United States","4198 Margarita Dale",Eduardoview,Iowa,82450,"United States","919.831.8402 x4574",386-920-5909,702-307-2685,"775-615-4088 x8413",319.212.0828,dianna@example.com,"Partial App","1991-02-19 04:32:35.000000",true,true,true,dianna@example.com,Male,Dianna@asu.gmail,true,,3.26268878664538,2.66554366336639,,,Valid,Married,Asian,false,Biology,3.88500305298499,"Mobile Phone",8744525455,1202206762,false,Dianna.Ward@asuFake.edu,
88,,Josiah,Conroy,Mr.,No,"1133 Dominic Via",Framiberg,Iowa,37399-5021,"United States","3563 Feest Spurs",Lakintown,Idaho,54095,"United States","956-530-5812 x4571","224.478.6381 x9538","334-301-9514 x5948",772-716-5178,"307.818.6805 x6632",josiah@example.net,PeopleSoft,"1995-04-03 20:22:20.000000",false,false,true,josiah@example.net,Male,Josiah@asu.gmail,false,,2.74687586761592,3.57145552309216,,,Temp,Unknown,Hispanic,true,Business,,Email,8507840317,1205783662,false,Josiah.Conroy@asuFake.edu,
89,,Daisha,Denesik,Mr.,No,"5215 Boyd Isle",Odellberg,Iowa,28232-8343,"United States","3476 Garfield Overpass","New Mabelle",Utah,21675-5505,"United States",810-464-3187,"484-507-6080 x8206","240-641-8418 x2682","(445) 404-0443","878.631.6956 x0812",daisha@example.org,"ASU UG","1990-01-24 01:30:56.000000",false,true,false,daisha@example.org,Male,Daisha@asu.gmail,false,,1.74219402710028,3.3130835668418,"Active Duty",Army,Valid,Married,"Pacific Islander",true,"Political Science",3.86927205434022,Email,5409087786,1208633618,false,Daisha.Denesik@asuFake.edu,
90,,Rosario,Leuschke,Mrs.,No,"52836 Gorczany Corners","South Domenickchester",Nevada,34656,"United States","34129 Kutch Keys","East Orval",Missouri,44228-1244,"United States","510-530-2794 x1364","925-731-5900 x2064","740-313-1137 x1067",931.254.0530,"585.563.5339 x8224",rosario@example.com,Email,"1993-05-30 01:34:55.000000",true,true,false,rosario@example.com,Female,Rosario@asu.gmail,false,,2.69351054069586,3.72476875936143,,,Temp,Married,Hispanic,true,Psychology,,"Local Phone",7639412366,1205071104,false,Rosario.Leuschke@asuFake.edu,
91,,Arnaldo,Crona,Prof,No,"7360 Littel Courts",Erdmanport,Utah,36417-0617,"United States","981 Chelsea Club",Randalton,Idaho,36116,"United States","562-304-6528 x0851","(224) 563-1686 x9562","(760) 863-2903 x8126",651-336-9551,660-612-3692,arnaldo@example.org,"Purchased List","1995-02-02 04:27:48.000000",false,false,true,arnaldo@example.org,Unknown,Arnaldo@asu.gmail,true,,2.36683448713817,2.15497283834565,,,Valid,Unknown,"Black African-American",true,"Political Science",,"Local Phone",7145945856,1201630223,false,Arnaldo.Crona@asuFake.edu,
92,,Paul,Connelly,Mr.,No,"13348 Brandt Ways",Jaronport,Virginia,15719,"United States","32128 Cruickshank Parkways",Treutelburgh,Maine,73827-2203,"United States","712.740.4478 x2317","(724) 608-7599 x8742","305.954.3463 x8120","316.931.5378 x1926","407-516-4871 x3861",paul@example.com,"College Fair - Int","1990-07-31 10:29:57.000000",false,true,false,paul@example.com,Male,Paul@asu.gmail,true,,2.3813500895224,2.75963033349508,"National Guard",Navy,Role,Married,"Black African-American",false,"Mechanical Engineering",3.62258140454789,"Local Phone",0073362614,1208895538,false,Paul.Connelly@asuFake.edu,
93,,Davin,Cronin,Ms.,No,"958 Constance Burg",Lisatown,Michigan,36346-8546,"United States","34162 Hartmann Junction","East Caroline",Kansas,33935,"United States",985.975.1661,"757.612.9790 x1570","(509) 978-6145 x5547","(334) 434-6152","(312) 724-6147 x2135",davin@example.org,"Phone Call","1991-07-30 10:49:30.000000",true,false,false,davin@example.org,Female,Davin@asu.gmail,true,,3.53633377997193,2.29816593241129,,,Role,Single,"Black African-American",false,Business,3.37998841063415,"Mobile Phone",6204952804,1203175762,false,Davin.Cronin@asuFake.edu,
94,,Rick,Dickens,Mr.,No,"8468 Webster Branch",Roelchester,Missouri,33803-3459,"United States","4068 Gerry Via","Lake Jaredfurt",Alabama,42196,"United States","320-425-1051 x4120","947.203.4630 x3918",903-252-4897,"234.414.9723 x5801",847.732.9964,rick@example.net,Event,"1989-09-05 15:18:25.000000",true,true,true,rick@example.net,Male,Rick@asu.gmail,false,,1.74732832568739,2.1789502159936,,,Temp,Divorced,"Black African-American",false,"Mechanical Engineering",,"Home Phone",7484665033,1209123235,false,Rick.Dickens@asuFake.edu,
95,,Autumn,Frami,Prof,No,"57912 Roy Spring",Christopmouth,Maryland,53673,"United States","41260 Lonny Isle","North Savanah",Arkansas,65779,"United States","904-316-4504 x6131",847-720-2972,"(402) 470-7039 x5762",989.732.1961,"812-925-4680 x0653",autumn@example.net,"Partial App","1989-07-09 12:00:15.000000",true,true,false,autumn@example.net,Unknown,Autumn@asu.gmail,true,,1.2628103748511,2.72814030435255,,,Valid,Single,"Black African-American",true,Business,3.01630951463124,Email,9834518945,1209298609,false,Autumn.Frami@asuFake.edu,
